Accounting,ACCT 2101 (801),Financial Accounting,3,TTh 10:20-11:50,"Sigaty, D.",43406,,1,,Class Info
Accounting,ACCT 2101 (802),Financial Accounting,3,MWF 10:00-11:00,"Hongo, A.",43407,,1,,Class Info
Accounting,ACCT 2102 (801),Managerial Accounting,3,TTh 13:40-15:10,"Sigaty, D.",43413,,2,,Class Info
Advertising,ADV 0853 (801),Advertising and Globalization,3,TTh 8:40-10:10,"Foster, J.",43642,GG,,,Class Info
American Studies,AMST 0862 (801),First Person America,3,TTh 12:00-13:30,"Clark, W.",43350,GU,,,Class Info
American Studies,AMST 0862 (802),First Person America,3,MWF 8:50-9:50,"Higgins, S.",43645,GU,,,Class Info
Anthropology,ANTH 2373 (801),Japanese Culture,3,TTh 8:40-10:10,"Mock, J.",43336,,253,CL: ASST 2373 (801).,Class Info
Art,ARTU 1101 (801),Painting for Non-Majors,3,TTh 9:20-11:50,"Sakurai, K.",43528,,C079,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1101 (802),Painting for Non-Majors,3,TTh 13:10-15:40,"Kirkham, J.",43537,,C079,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1201 (801),3-D Design,3,WF 8:50-11:20,"Hishiyama, Y.",43504,,C089,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1201 (802),3-D Design,3,TTh 15:50-18:20,"Kirkham, J.",43505,,C089,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1401 (801),Drawing I,3,WF 16:50-19:20,"Hishiyama, Y.",43526,,C069,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1401 (802),Drawing I,3,TTh 9:20-11:50,"Kirkham, J.",43530,,C069,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1401 (803),Drawing I,3,TTh 13:10-15:40,"Sakurai, K.",43535,,C069,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1402 (801),Drawing II,3,WF 16:50-19:20,"Hishiyama, Y.",43527,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1402 (802),Drawing II,3,TTh 9:20-11:50,"Kirkham, J.",43531,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1402 (803),Drawing II,3,TTh 13:10-15:40,"Sakurai, K.",43536,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 1501 (801),2D Design,3,TTh 15:50-18:20,"Watanabe, S.",43503,,C059,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2102 (801),Painting,3,TTh 9:20-11:50,"Sakurai, K.",43529,,118,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2102 (802),Painting,3,TTh 13:10-15:40,"Kirkham, J.",43538,,118,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2202 (801),Intermediate 3-D,3,WF 11:30-14:00,"Hishiyama, Y.",43506,,122,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2301 (801),Relief Printmaking,3,WF 16:50-19:20,"Rouse, L.",43494,,131,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2351 (801),"Artist Books, Zines and Independent Publishing",3,TTh 13:10-15:40,"Wilds, K.",43496,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2400 (801),Special Topics: Picture Books,3,TTh 9:20-11:50,"Wilds, K.",43449,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2400 (802),Special Topics: Post-Studio Practice,3,TTh 15:50-18:20,"Kubota, T.",43450,,,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2402 (801),Intermediate Drawing,3,WF 11:30-14:00,"Kubota, T.",43513,,140,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2601 (801),Computer Imaging,3,WF 14:10-16:40,"Kubota, T.",43497,,160,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2601 (802),Computer Imaging,3,TTh 13:10-15:40,"Tsai, P.",43498,,160,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2602 (801),Intermediate Computer Imaging,3,TTh 9:20-11:50,"Lynam, I.",43499,,161,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2811 (801),Art Photography: Digital,3,WF 11:30-14:00,"Watanabe, S.",43516,,188,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2811 (802),Art Photography: Digital,3,WF 14:10-16:40,"Watanabe, S.",43522,,188,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2811 (803),Art Photography: Digital,3,TTh 9:20-11:50,"Tsai, P.",43500,,188,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2812 (801),Intermediate Art Photography: Digital,3,WF 11:30-14:00,"Watanabe, S.",43517,,189,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2812 (802),Intermediate Art Photography: Digital,3,WF 14:10-16:40,"Watanabe, S.",43523,,189,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2812 (803),Intermediate Art Photography: Digital,3,TTh 9:20-11:50,"Tsai, P.",43532,,189,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 2835 (801),Art Photography: Moving Image,3,MW 14:10-16:40,"Lynam, I.",43501,,190,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 3103 (801),Advanced Painting,3,MW 11:30-14:00,"Sakurai, K.",43509,,119,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 3203 (801),Advanced 3-D,3,WF 11:30-14:00,"Hishiyama, Y.",43507,,325,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
Art,ARTU 3321 (801),Intermediate Printmaking: Digital,3,WF 14:10-16:40,"Rouse, L.",43502,,238,"Notes: An extra media fee of 18,000 yen is required. Extra studio time is mandatory in this class.",Class Info
